Month,Yit,EPU_Index
2004-08-01,1.7045557406676863,116.12592500008061
2004-09-01,2.5069193136879355,170.78838623871914
2004-10-01,0.6884367997180086,46.90099494196291
2004-11-01,1.3871869190140091,94.50460332579931
2004-12-01,1.549596127879715,105.56902272734602
2005-01-01,0.9976400944188872,67.96602540916676
2005-02-01,0.9880427057159598,67.31218604555862
2005-03-01,0.8426804816309158,57.40912313643217
2005-04-01,1.0847172895158004,73.89831590914221
2005-05-01,0.9297576767278289,63.341413636407616
2005-06-01,0.9297576767278289,63.341413636407616
2005-07-01,1.3946365150917435,95.01212045461142
2005-08-01,1.2300795136008444,83.80137881826867
2005-09-01,0.7747980639398575,52.78451136367301
2005-10-01,0.887292975491969,60.448429503817906
2005-11-01,0.9105628993219741,62.033734909191324
2005-12-01,0.8950496167686373,60.976864638942374
